django.utils.autoreload DEBUG 2023-12-20 19:23:59,150 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/utils/connection.py first seen with mtime 1700301303.3557043
django.utils.autoreload DEBUG 2023-12-20 19:23:59,151 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/phonenumbers/re_util.py first seen with mtime 1702979339.609389
django.utils.autoreload DEBUG 2023-12-20 19:23:59,151 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/dispatch/__init__.py first seen with mtime 1700301303.3196008
django.utils.autoreload DEBUG 2023-12-20 19:23:59,151 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/db/models/query_utils.py first seen with mtime 1700301303.3155892
django.utils.autoreload DEBUG 2023-12-20 19:23:59,151 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/contrib/contenttypes/management/__init__.py first seen with mtime 1700301302.9425075
django.utils.autoreload DEBUG 2023-12-20 19:23:59,151 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/contrib/admin/models.py first seen with mtime 1700301302.6616497
django.utils.autoreload DEBUG 2023-12-20 19:23:59,151 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/contrib/admin/views/autocomplete.py first seen with mtime 1700301302.8020785
django.utils.autoreload DEBUG 2023-12-20 19:23:59,151 autoreload 9640 140194417188928 File /usr/lib/python3.11/email/iterators.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,151 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/contrib/messages/apps.py first seen with mtime 1700301303.098968
django.utils.autoreload DEBUG 2023-12-20 19:23:59,162 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/db/migrations/state.py first seen with mtime 1700301303.3075662
django.utils.autoreload DEBUG 2023-12-20 19:23:59,162 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/phonenumbers/data/alt_format_31.py first seen with mtime 1702979339.625389
django.utils.autoreload DEBUG 2023-12-20 19:23:59,162 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/db/models/signals.py first seen with mtime 1700301303.3155892
django.utils.autoreload DEBUG 2023-12-20 19:23:59,163 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/forms/utils.py first seen with mtime 1700301303.3236122
django.utils.autoreload DEBUG 2023-12-20 19:23:59,163 autoreload 9640 140194417188928 File /usr/lib/python3.11/asyncio/trsock.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,163 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/core/cache/backends/base.py first seen with mtime 1700301303.2754743
django.utils.autoreload DEBUG 2023-12-20 19:23:59,163 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/utils/html.py first seen with mtime 1700301303.359716
django.utils.autoreload DEBUG 2023-12-20 19:23:59,163 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/django/views/decorators/debug.py first seen with mtime 1700301303.367739
django.utils.autoreload DEBUG 2023-12-20 19:23:59,163 autoreload 9640 140194417188928 File /home/fabrice/PycharmProjects/venv/lib/python3.11/site-packages/phonenumbers/data/alt_format_359.py first seen with mtime 1702979339.625389
django.utils.autoreload DEBUG 2023-12-20 19:23:59,163 autoreload 9640 140194417188928 File /usr/lib/python3.11/base64.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,163 autoreload 9640 140194417188928 File /usr/lib/python3.11/textwrap.py first seen with mtime 1686132789.0
django.utils.autoreload DEBUG 2023-12-20 19:23:59,163 autoreload 9640 140194417188928 File /usr/lib/python3.11/json/__init__.py first seen with mtime 1686132789.0
